"method","method_setting","condition_id","mean_ci_width","mean_ci_width_mcse"
"EK","default",2,0.969020114264779,0.0370321595215209
"EK","default",3,1.25189843244658,0.0465586894202046
"EK","default",4,1.17754480450782,0.0370326295728042
"EK","default",5,0.243862196613057,0.00239586142681176
"EK","default",6,0.237274212571577,0.00233745114368409
"EK","default",7,0.309945935143882,0.00287675280289366
"EK","default",8,0.309270280638646,0.00269491764244944
"AK","AK1",1,1.21469756358501,0.773579257957679
"AK","AK1",2,0.455615252034073,0.0147198663684268
"AK","AK1",3,221.817419738156,165.088402485398
"AK","AK1",4,0.527365484836188,0.0174497438004827
"AK","AK1",5,0.0767880249438787,0.00100685319601608
"AK","AK1",6,0.107611812463594,0.000646138126152195
"AK","AK1",7,0.105721228560833,0.00251780537429593
"AK","AK1",8,0.14324183039298,0.00114161479187126
"AK","AK2",1,0.86500145940902,0.133734903294889
"AK","AK2",2,0.223508129930989,0.0128877284153553
"AK","AK2",3,1.17304301288538,0.211026792766428
"AK","AK2",4,9.04836492663671,8.74976930805015
"AK","AK2",5,0.144944610847612,0.00279850142580735
"AK","AK2",6,0.119542266554146,0.00257176869022941
"AK","AK2",7,0.250817725960946,0.00591352974498848
"AK","AK2",8,0.191540049676031,0.007997275265935
"RoBMA","PSMA",1,0.101653626746538,0.00767106779629455
"RoBMA","PSMA",2,0.386089489719278,0.00632718833621343
"RoBMA","PSMA",3,0.154915349904549,0.0122372632935196
"RoBMA","PSMA",4,0.405730567672538,0.00971841575165878
"RoBMA","PSMA",5,0.014751477863133,0.0035069894001136
"RoBMA","PSMA",6,0.101309593609337,0.00304043128942755
"RoBMA","PSMA",7,0.0196014007934212,0.0030196409608633
"RoBMA","PSMA",8,0.141349328129534,0.0064230902338941
